vx vy vz
0.00673895 3.82016e-05 0
0.0110073 3.22682e-05 0
0.00988874 2.30803e-05 0
0.00978075 2.25184e-05 0
0.00976417 2.21444e-05 0
0.00971938 2.19143e-05 0
0.00967506 2.18291e-05 0
0.00963129 2.18195e-05 0
0.00958745 2.18578e-05 0
0.0095435 2.19306e-05 0
0.00949938 2.20304e-05 0
0.00945504 2.21531e-05 0
0.00941042 2.22961e-05 0
0.0093655 2.24579e-05 0
0.00932024 2.26374e-05 0
0.0092746 2.28341e-05 0
0.00922855 2.30477e-05 0
0.00918206 2.32779e-05 0
0.00913508 2.35246e-05 0
0.00908759 2.3788e-05 0
0.00903956 2.40681e-05 0
0.00899095 2.4365e-05 0
0.00894172 2.4679e-05 0
0.00889185 2.50103e-05 0
0.0088413 2.53591e-05 0
0.00879002 2.57258e-05 0
0.008738 2.61106e-05 0
0.00868518 2.65138e-05 0
0.00863153 2.69359e-05 0
0.00857702 2.73771e-05 0
0.0085216 2.78379e-05 0
0.00846523 2.83186e-05 0
0.00840789 2.88197e-05 0
0.00834951 2.93416e-05 0
0.00829006 2.98846e-05 0
0.00822951 3.04493e-05 0
0.0081678 3.10361e-05 0
0.00810488 3.16455e-05 0
0.00804072 3.22778e-05 0
0.00797527 3.29335e-05 0
0.00790848 3.36132e-05 0
0.0078403 3.43172e-05 0
0.00777068 3.5046e-05 0
0.00769957 3.58e-05 0
0.00762693 3.65797e-05 0
0.00755269 3.73855e-05 0
0.0074768 3.82177e-05 0
0.00739923 3.90767e-05 0
0.00731989 3.9963e-05 0
0.00723876 4.08767e-05 0
0.00715576 4.18181e-05 0
0.00707084 4.27875e-05 0
0.00698395 4.3785e-05 0
0.00689502 4.48108e-05 0
0.00680401 4.58648e-05 0
0.00671086 4.69472e-05 0
0.0066155 4.80577e-05 0
0.00651789 4.91961e-05 0
0.00641796 5.03622e-05 0
0.00631567 5.15556e-05 0
0.00621095 5.27758e-05 0
0.00610376 5.4022e-05 0
0.00599404 5.52935e-05 0
0.00588174 5.65894e-05 0
0.00576682 5.79085e-05 0
0.00564923 5.92496e-05 0
0.00552892 6.06113e-05 0
0.00540586 6.19918e-05 0
0.00528002 6.33893e-05 0
0.00515135 6.48018e-05 0
0.00501984 6.6227e-05 0
0.00488545 6.76623e-05 0
0.00474818 6.91051e-05 0
0.004608 7.05525e-05 0
0.00446492 7.20011e-05 0
0.00431893 7.34476e-05 0
0.00417005 7.48883e-05 0
0.00401828 7.63194e-05 0
0.00386365 7.77367e-05 0
0.00370619 7.9136e-05 0
0.00354595 8.05129e-05 0
0.00338297 8.18626e-05 0
0.00321732 8.31805e-05 0
0.00304905 8.44616e-05 0
0.00287826 8.5701e-05 0
0.00270502 8.68939e-05 0
0.00252944 8.8035e-05 0
0.00235163 8.91196e-05 0
0.0021717 9.01428e-05 0
0.00198978 9.10998e-05 0
0.00180602 9.1986e-05 0
0.00162055 9.27972e-05 0
0.00143353 9.35293e-05 0
0.00124512 9.41785e-05 0
0.0010555 9.47413e-05 0
0.000864839 9.52146e-05 0
0.00067332 9.55951e-05 0
0.000481136 9.58786e-05 0
0.000288555 9.6055e-05 0
9.58646e-05 9.58638e-05 0
0.00676425 7.9714e-05 0
0.0110563 7.65027e-05 0
0.00994178 6.99869e-05 0
0.00983506 6.75788e-05 0
0.00981926 6.65125e-05 0
0.00977462 6.60007e-05 0
0.00973026 6.58035e-05 0
0.00968637 6.58006e-05 0
0.00964237 6.59292e-05 0
0.00959824 6.61555e-05 0
0.00955393 6.64606e-05 0
0.00950939 6.68329e-05 0
0.00946458 6.72655e-05 0
0.00941945 6.77542e-05 0
0.00937399 6.82961e-05 0
0.00932814 6.88895e-05 0
0.00928188 6.95336e-05 0
0.00923517 7.02278e-05 0
0.00918798 7.0972e-05 0
0.00914028 7.17662e-05 0
0.00909203 7.26108e-05 0
0.0090432 7.35063e-05 0
0.00899376 7.44532e-05 0
0.00894367 7.54522e-05 0
0.00889289 7.65041e-05 0
0.00884139 7.76098e-05 0
0.00878913 7.87702e-05 0
0.00873608 7.99863e-05 0
0.0086822 8.12592e-05 0
0.00862745 8.259e-05 0
0.00857179 8.39797e-05 0
0.00851518 8.54296e-05 0
0.00845759 8.6941e-05 0
0.00839896 8.85151e-05 0
0.00833926 9.01532e-05 0
0.00827844 9.18566e-05 0
0.00821647 9.36266e-05 0
0.00815328 9.54647e-05 0
0.00808885 9.73722e-05 0
0.00802312 9.93504e-05 0
0.00795604 0.000101401 0
0.00788756 0.000103525 0
0.00781765 0.000105724 0
0.00774623 0.000107999 0
0.00767327 0.000110351 0
0.00759871 0.000112782 0
0.0075225 0.000115293 0
0.00744458 0.000117886 0
0.00736491 0.00012056 0
0.00728341 0.000123317 0
0.00720005 0.000126158 0
0.00711475 0.000129084 0
0.00702747 0.000132095 0
0.00693815 0.000135191 0
0.00684673 0.000138372 0
0.00675315 0.000141639 0
0.00665735 0.000144992 0
0.00655929 0.000148428 0
0.00645889 0.000151949 0
0.00635611 0.000155552 0
0.00625089 0.000159236 0
0.00614318 0.000162999 0
0.00603293 0.000166839 0
0.00592008 0.000170752 0
0.00580458 0.000174736 0
0.00568639 0.000178787 0
0.00556547 0.0001829 0
0.00544177 0.00018707 0
0.00531526 0.000191292 0
0.00518591 0.000195559 0
0.00505368 0.000199866 0
0.00491856 0.000204203 0
0.00478051 0.000208563 0
0.00463954 0.000212937 0
0.00449564 0.000217316 0
0.0043488 0.000221688 0
0.00419903 0.000226044 0
0.00404634 0.00023037 0
0.00389077 0.000234655 0
0.00373233 0.000238887 0
0.00357108 0.00024305 0
0.00340706 0.000247132 0
0.00324033 0.000251119 0
0.00307096 0.000254994 0
0.00289903 0.000258743 0
0.00272462 0.000262352 0
0.00254784 0.000265805 0
0.0023688 0.000269086 0
0.00218762 0.000272183 0
0.00200442 0.000275079 0
0.00181934 0.000277761 0
0.00163253 0.000280216 0
0.00144416 0.000282432 0
0.00125438 0.000284397 0
0.00106336 0.000286101 0
0.00087129 0.000287534 0
0.000678345 0.000288688 0
0.000484714 0.000289555 0
0.0002907 0.00029012 0
9.63432e-05 0.000288841 0
0.00676086 0.000111179 0
0.0110502 0.000119139 0
0.0099374 0.000113465 0
0.00983236 0.000111375 0
0.00981741 0.0001103 0
0.00977325 0.000109753 0
0.0097292 0.000109568 0
