vx vy vz
0.00665055 3.65391e-05 0
0.0109851 3.12493e-05 0
0.0098966 2.29369e-05 0
0.00978774 2.24162e-05 0
0.00976807 2.20757e-05 0
0.00972349 2.18756e-05 0
0.00967933 2.18061e-05 0
0.0096356 2.18062e-05 0
0.00959181 2.18509e-05 0
0.00954788 2.19281e-05 0
0.00950378 2.20313e-05 0
0.00945944 2.21565e-05 0
0.00941484 2.23015e-05 0
0.00936992 2.24649e-05 0
0.00932466 2.26458e-05 0
0.00927902 2.28436e-05 0
0.00923297 2.30581e-05 0
0.00918647 2.32892e-05 0
0.00913949 2.35367e-05 0
0.00909199 2.38008e-05 0
0.00904395 2.40815e-05 0
0.00899533 2.4379e-05 0
0.0089461 2.46936e-05 0
0.00889621 2.50254e-05 0
0.00884565 2.53748e-05 0
0.00879436 2.5742e-05 0
0.00874232 2.61273e-05 0
0.00868949 2.6531e-05 0
0.00863582 2.69536e-05 0
0.00858129 2.73953e-05 0
0.00852586 2.78566e-05 0
0.00846948 2.83379e-05 0
0.00841211 2.88395e-05 0
0.00835372 2.93619e-05 0
0.00829425 2.99055e-05 0
0.00823368 3.04708e-05 0
0.00817195 3.10581e-05 0
0.00810901 3.1668e-05 0
0.00804483 3.2301e-05 0
0.00797936 3.29574e-05 0
0.00791254 3.36377e-05 0
0.00784434 3.43423e-05 0
0.00777469 3.50718e-05 0
0.00770356 3.58266e-05 0
0.00763088 3.6607e-05 0
0.00755662 3.74135e-05 0
0.00748071 3.82465e-05 0
0.0074031 3.91064e-05 0
0.00732374 3.99934e-05 0
0.00724257 4.0908e-05 0
0.00715953 4.18503e-05 0
0.00707458 4.28206e-05 0
0.00698766 4.38191e-05 0
0.0068987 4.48458e-05 0
0.00680765 4.59009e-05 0
0.00671445 4.69843e-05 0
0.00661906 4.80959e-05 0
0.0065214 4.92355e-05 0
0.00642144 5.04027e-05 0
0.0063191 5.15973e-05 0
0.00621433 5.28187e-05 0
0.00610709 5.40662e-05 0
0.00599733 5.5339e-05 0
0.00588498 5.66362e-05 0
0.00577001 5.79567e-05 0
0.00565236 5.92992e-05 0
0.005532 6.06622e-05 0
0.00540888 6.20442e-05 0
0.00528298 6.34432e-05 0
0.00515425 6.48572e-05 0
0.00502268 6.62839e-05 0
0.00488822 6.77208e-05 0
0.00475088 6.91652e-05 0
0.00461064 7.06141e-05 0
0.00446748 7.20643e-05 0
0.00432142 7.35124e-05 0
0.00417246 7.49548e-05 0
0.00402061 7.63875e-05 0
0.00386591 7.78064e-05 0
0.00370837 7.92074e-05 0
0.00354804 8.05858e-05 0
0.00338498 8.19371e-05 0
0.00321923 8.32566e-05 0
0.00305088 8.45392e-05 0
0.00287999 8.57802e-05 0
0.00270666 8.69744e-05 0
0.00253098 8.8117e-05 0
0.00235307 8.92029e-05 0
0.00217304 9.02273e-05 0
0.00199102 9.11855e-05 0
0.00180715 9.20729e-05 0
0.00162158 9.28851e-05 0
0.00143445 9.36181e-05 0
0.00124594 9.42681e-05 0
0.00105621 9.48317e-05 0
0.000865437 9.53057e-05 0
0.000673807 9.56869e-05 0
0.00048151 9.59712e-05 0
0.000288809 9.61495e-05 0
9.59829e-05 9.59822e-05 0
0.00667342 7.81585e-05 0
0.0110296 7.53021e-05 0
0.00994481 6.94071e-05 0
0.00983716 6.72545e-05 0
0.00981818 6.63029e-05 0
0.00977373 6.58578e-05 0
0.00972953 6.57016e-05 0
0.0096857 6.57252e-05 0
0.00964176 6.58719e-05 0
0.00959767 6.61111e-05 0
0.0095534 6.64256e-05 0
0.00950889 6.68052e-05 0
0.0094641 6.72435e-05 0
0.00941901 6.77366e-05 0
0.00937356 6.82822e-05 0
0.00932774 6.88787e-05 0
0.00928149 6.95254e-05 0
0.00923481 7.02218e-05 0
0.00918763 7.09678e-05 0
0.00913995 7.17637e-05 0
0.00909171 7.26098e-05 0
0.0090429 7.35066e-05 0
0.00899347 7.44547e-05 0
0.00894338 7.54548e-05 0
0.00889262 7.65078e-05 0
0.00884113 7.76145e-05 0
0.00878888 7.87758e-05 0
0.00873584 7.99928e-05 0
0.00868197 8.12665e-05 0
0.00862723 8.2598e-05 0
0.00857158 8.39886e-05 0
0.00851498 8.54393e-05 0
0.00845739 8.69514e-05 0
0.00839877 8.85262e-05 0
0.00833908 9.0165e-05 0
0.00827827 9.18692e-05 0
0.0082163 9.364e-05 0
0.00815312 9.54788e-05 0
0.0080887 9.7387e-05 0
0.00802297 9.93661e-05 0
0.0079559 0.000101417 0
0.00788743 0.000103542 0
0.00781752 0.000105742 0
0.00774611 0.000108017 0
0.00767316 0.000110371 0
0.00759861 0.000112803 0
0.0075224 0.000115315 0
0.00744449 0.000117908 0
0.00736482 0.000120583 0
0.00728333 0.000123342 0
0.00719997 0.000126184 0
0.00711468 0.00012911 0
0.0070274 0.000132122 0
0.00693808 0.000135219 0
0.00684667 0.000138402 0
0.00675309 0.00014167 0
0.0066573 0.000145024 0
0.00655924 0.000148462 0
0.00645885 0.000151984 0
0.00635608 0.000155588 0
0.00625086 0.000159274 0
0.00614316 0.000163038 0
0.00603291 0.00016688 0
0.00592006 0.000170795 0
0.00580457 0.00017478 0
0.00568638 0.000178832 0
0.00556546 0.000182947 0
0.00544177 0.000187119 0
0.00531526 0.000191343 0
0.00518591 0.000195612 0
0.00505369 0.00019992 0
0.00491857 0.000204259 0
0.00478053 0.000208621 0
0.00463956 0.000212997 0
0.00449566 0.000217378 0
0.00434882 0.000221752 0
0.00419905 0.00022611 0
0.00404637 0.000230438 0
0.0038908 0.000234726 0
0.00373237 0.000238959 0
0.00357113 0.000243125 0
0.00340711 0.000247209 0
0.00324038 0.000251197 0
0.00307101 0.000255074 0
0.00289908 0.000258825 0
0.00272468 0.000262436 0
0.00254791 0.000265891 0
0.00236887 0.000269174 0
0.00218768 0.000272272 0
0.00200449 0.000275169 0
0.00181941 0.000277853 0
0.00163261 0.00028031 0
0.00144424 0.000282527 0
0.00125446 0.000284493 0
0.00106345 0.000286198 0
0.000871376 0.000287632 0
0.000678434 0.000288787 0
0.000484806 0.000289655 0
0.000290784 0.000290223 0
9.64286e-05 0.000289086 0
0.00667037 0.000110771 0
0.0110242 0.000117982 0
0.00994085 0.000112826 0
0.00983472 0.000110956 0
0.00981652 0.000110001 0
0.00977252 0.000109535 0
0.0097286 0.000109404 0
0.00968496 0.000109508 0
0.00964116 0.000109787 0
0.00959718 0.000110205 0
0.009553 0.000110741 0
0.00950857 0.00011138 0
0.00946386 0.000112115 0
0.00941883 0.00011294 0
0.00937345 0.000113852 0
0.00932769 0.000114847 0
0.00928151 0.000115926 0
0.00923488 0.000117088 0
0.00918777 0.000118332 0
0.00914014 0.000119659 0
0.00909197 0.000121069 0
0.00904321 0.000122564 0
0.00899384 0.000124144 0
0.00894382 0.000125812 0
0.00889312 0.000127567 0
0.00884169 0.000129412 0
0.00878951 0.000131348 0
0.00873653 0.000133376 0
0.00868273 0.000135499 0
0.00862805 0.000137719 0
0.00857247 0.000140037 0
0.00851594 0.000142456 0
0.00845843 0.000144976 0
0.00839988 0.000147602 0
0.00834026 0.000150334 0
0.00827953 0.000153175 0
0.00821763 0.000156127 0
0.00815453 0.000159193 0
0.00809019 0.000162375 0
0.00802454 0.000165675 0
0.00795755 0.000169095 0
0.00788917 0.000172638 0
0.00781934 0.000176305 0
0.00774802 0.000180101 0
0.00767516 0.000184025 0
0.0076007 0.000188081 0
0.00752458 0.00019227 0
0.00744676 0.000196595 0
0.00736718 0.000201057 0
0.00728579 0.000205658 0
0.00720253 0.000210399 0
0.00711734 0.00021528 0
0.00703016 0.000220305 0
0.00694094 0.000225472 0
0.00684962 0.000230782 0
0.00675615 0.000236235 0
0.00666046 0.00024183 0
0.0065625 0.000247567 0
0.00646221 0.000253445 0
0.00635953 0.00025946 0
0.00625441 0.000265612 0
0.0061468 0.000271895 0
0.00603664 0.000278308 0
0.00592388 0.000284844 0
0.00580848 0.000291498 0
0.00569037 0.000298264 0
0.00556953 0.000305135 0
0.00544591 0.000312103 0
0.00531947 0.000319158 0
0.00519018 0.000326289 0
0.00505801 0.000333487 0
0.00492293 0.000340737 0
0.00478493 0.000348026 0
0.00464399 0.000355339 0
0.0045001 0.000362661 0
0.00435326 0.000369973 0
0.00420349 0.000377258 0
0.00405078 0.000384495 0
0.00389518 0.000391665 0
0.0037367 0.000398745 0
0.00357538 0.000405713 0
0.00341128 0.000412545 0
0.00324446 0.000419217 0
0.00307498 0.000425705 0
0.00290292 0.000431983 0
0.00272837 0.000438026 0
0.00255143 0.000443808 0
0.00237221 0.000449305 0
0.00219083 0.000454491 0
0.00200742 0.000459343 0
0.00182211 0.000463837 0
0.00163507 0.000467951 0
0.00144644 0.000471664 0
0.00125639 0.000474958 0
0.0010651 0.000477814 0
0.000872744 0.000480217 0
0.000679505 0.000482155 0
0.000485575 0.000483617 0
0.000291262 0.000484594 0
9.65966e-05 0.000482692 0
0.00666941 0.00014667 0
0.0110221 0.000159739 0
0.00993899 0.000155245 0
0.00983355 0.000153907 0
0.00981587 0.000153214 0
0.00977226 0.000152899 0
0.00972864 0.000152895 0
0.00968521 0.00015314 0
0.00964159 0.000153587 0
0.00959776 0.000154207 0
0.00955371 0.000154978 0
0.0095094 0.000155887 0
0.00946479 0.000156925 0
0.00941987 0.000158086 0
0.00937459 0.000159365 0
0.00932893 0.000160762 0
0.00928285 0.000162274 0
0.00923632 0.000163901 0
0.00918931 0.000165643 0
0.00914178 0.000167501 0
0.00909371 0.000169475 0
0.00904505 0.000171568 0
0.00899579 0.00017378 0
0.00894587 0.000176114 0
0.00889527 0.000178571 0
0.00884396 0.000181152 0
0.00879189 0.000183862 0
0.00873902 0.000186701 0
0.00868533 0.000189673 0
0.00863077 0.000192779 0
0.00857531 0.000196024 0
0.0085189 0.000199409 0
0.00846151 0.000202937 0
0.00840309 0.000206612 0
0.0083436 0.000210436 0
0.008283 0.000214412 0
0.00822124 0.000218545 0
0.00815828 0.000222836 0
0.00809407 0.00022729 0
0.00802857 0.000231909 0
0.00796173 0.000236696 0
0.00789349 0.000241656 0
0.00782382 0.000246791 0
0.00775265 0.000252104 0
0.00767994 0.000257598 0
0.00760564 0.000263277 0
0.00752969 0.000269143 0
0.00745203 0.000275199 0
0.00737262 0.000281447 0
0.00729139 0.00028789 0
0.0072083 0.000294529 0
0.00712328 0.000301366 0
0.00703627 0.000308403 0
0.00694722 0.000315641 0
0.00685608 0.000323079 0
0.00676277 0.000330718 0
0.00666726 0.000338558 0
0.00656946 0.000346597 0
0.00646934 0.000354833 0
0.00636683 0.000363263 0
0.00626187 0.000371884 0
0.00615442 0.000380692 0
0.00604441 0.00038968 0
0.0059318 0.000398844 0
0.00581653 0.000408174 0
0.00569856 0.000417663 0
0.00557784 0.000427299 0
0.00545433 0.000437072 0
0.00532799 0.000446969 0
0.00519878 0.000456975 0
0.00506668 0.000467075 0
0.00493166 0.00047725 0
0.00479369 0.000487481 0
0.00465277 0.000497748 0
0.00450888 0.000508029 0
0.00436203 0.000518298 0
0.0042122 0.000528529 0
0.00405943 0.000538697 0
0.00390373 0.00054877 0
0.00374513 0.000558719 0
0.00358367 0.000568513 0
0.00341939 0.000578117 0
0.00325236 0.000587498 0
0.00308264 0.000596621 0
0.00291032 0.000605451 0
0.00273547 0.000613951 0
0.0025582 0.000622086 0
0.00237862 0.000629821 0
0.00219686 0.000637119 0
0.00201303 0.000643948 0
0.00182729 0.000650274 0
0.00163977 0.000656066 0
0.00145065 0.000661294 0
0.00126009 0.000665932 0
0.00106826 0.000669955 0
0.000875353 0.00067334 0
0.000681549 0.000676071 0
0.000487044 0.000678132 0
0.000292151 0.000679509 0
9.68943e-05 0.000676825 0
0.00666902 0.000183921 0
0.0110211 0.000201711 0
0.00993794 0.000197272 0
0.00983284 0.0001964 0
0.0098155 0.000196036 0
0.0097722 0.00019595 0
0.00972884 0.000196137 0
0.00968565 0.000196568 0
0.00964222 0.000197215 0
0.00959857 0.000198057 0
0.00955468 0.000199077 0
0.00951052 0.000200265 0
0.00946605 0.000201611 0
0.00942127 0.000203112 0
0.00937612 0.000204762 0
0.00933059 0.000206561 0
0.00928464 0.000208506 0
0.00923825 0.000210599 0
0.00919137 0.000212838 0
0.00914397 0.000215226 0
0.00909603 0.000217764 0
0.00904752 0.000220453 0
0.00899839 0.000223295 0
0.00894861 0.000226293 0
0.00889815 0.000229449 0
0.00884698 0.000232766 0
0.00879506 0.000236246 0
0.00874234 0.000239894 0
0.00868881 0.000243711 0
0.0086344 0.000247702 0
0.0085791 0.00025187 0
0.00852286 0.000256218 0
0.00846563 0.000260751 0
0.00840738 0.000265471 0
0.00834806 0.000270384 0
0.00828763 0.000275493 0
0.00822605 0.000280803 0
0.00816328 0.000286316 0
0.00809926 0.000292039 0
0.00803395 0.000297974 0
0.0079673 0.000304126 0
0.00789926 0.000310499 0
0.00782979 0.000317098 0
0.00775883 0.000323926 0
0.00768633 0.000330987 0
0.00761224 0.000338286 0
0.0075365 0.000345826 0
0.00745906 0.00035361 0
0.00737987 0.000361642 0
0.00729887 0.000369925 0
0.007216 0.000378461 0
0.00713121 0.000387252 0
0.00704443 0.000396301 0
0.00695561 0.000405609 0
0.0068647 0.000415176 0
0.00677162 0.000425002 0
0.00667633 0.000435087 0
0.00657877 0.000445429 0
0.00647887 0.000456026 0
0.00637658 0.000466874 0
0.00627184 0.00047797 0
0.00616459 0.000489307 0
0.00605479 0.000500879 0
0.00594237 0.000512677 0
0.00582729 0.000524692 0
0.0057095 0.000536913 0
0.00558894 0.000549326 0
0.00546558 0.000561918 0
0.00533937 0.000574671 0
0.00521028 0.000587568 0
0.00507828 0.000600587 0
0.00494334 0.000613706 0
0.00480542 0.000626901 0
0.00466453 0.000640145 0
0.00452064 0.000653408 0
0.00437376 0.000666659 0
0.00422388 0.000679866 0
0.00407102 0.000692992 0
0.0039152 0.000706 0
0.00375643 0.00071885 0
0.00359478 0.000731502 0
0.00343026 0.000743912 0
0.00326296 0.000756037 0
0.00309293 0.000767831 0
0.00292024 0.000779248 0
0.002745 0.000790241 0
0.00256729 0.000800765 0
0.00238724 0.000810772 0
0.00220495 0.000820217 0
0.00202057 0.000829056 0
0.00183423 0.000837245 0
0.00164609 0.000844745 0
0.00145631 0.000851515 0
0.00126505 0.000857522 0
0.00107251 0.000862732 0
0.000878859 0.000867118 0
0.000684296 0.000870656 0
0.000489017 0.000873327 0
0.00029334 0.000875109 0
9.72898e-05 0.000871653 0
0.00666889 0.00022179 0
0.0110207 0.000243866 0
0.0099374 0.000239148 0
0.00983252 0.00023862 0
