vx vy vz
0.00959498 0.000329445 0
0.00900817 0.000646971 0
0.00825245 0.000686739 0
0.00733325 0.000612459 0
0.00644085 0.000505164 0
0.00566846 0.000389794 0
0.0050118 0.000280274 0
0.00445155 0.000187611 0
0.00398063 0.000116468 0
0.00359309 6.57569e-05 0
0.00327756 3.18395e-05 0
0.00302072 1.06506e-05 0
0.00281073 -1.48058e-06 0
0.0026378 -7.52193e-06 0
0.00249374 -9.67296e-06 0
0.00237182 -9.47588e-06 0
0.00226669 -7.9826e-06 0
0.0021743 -5.88935e-06 0
0.0020916 -3.63352e-06 0
0.00201637 -1.47407e-06 0
0.00194703 4.48202e-07 0
0.00188249 2.06819e-06 0
0.00182202 3.36711e-06 0
0.00176513 4.35231e-06 0
0.00171154 5.04447e-06 0
0.00166104 5.47112e-06 0
0.00161347 5.66437e-06 0
0.00156868 5.66117e-06 0
0.00152649 5.50423e-06 0
0.00148663 5.24175e-06 0
0.00144881 4.92579e-06 0
0.00141265 4.60853e-06 0
0.0013778 4.33633e-06 0
0.00134389 4.14291e-06 0
0.00131064 4.04371e-06 0
0.00127783 4.03341e-06 0
0.00124533 4.0879e-06 0
0.0012131 4.17098e-06 0
0.00118117 4.24369e-06 0
0.00114961 4.27372e-06 0
0.0011185 4.24194e-06 0
0.00108791 4.1447e-06 0
0.0010579 3.99215e-06 0
0.00102847 3.8038e-06 0
0.000999589 3.60302e-06 0
0.000971171 3.4118e-06 0
0.000943107 3.24695e-06 0
0.000915269 3.11815e-06 0
0.000887528 3.02782e-06 0
0.000859766 2.9722e-06 0
0.000831891 2.94329e-06 0
0.000803842 2.93109e-06 0
0.000775589 2.9256e-06 0
0.00074713 2.91837e-06 0
0.000718482 2.90322e-06 0
0.000689675 2.87628e-06 0
0.000660748 2.83549e-06 0
0.000631744 2.78003e-06 0
0.000602707 2.70971e-06 0
0.000573682 2.62461e-06 0
0.000544717 2.52486e-06 0
0.000515859 2.41058e-06 0
0.000487158 2.28182e-06 0
0.000458663 2.13861e-06 0
0.000430427 1.98093e-06 0
0.000402503 1.80874e-06 0
0.000374946 1.62198e-06 0
0.000347814 1.42061e-06 0
0.000321165 1.20458e-06 0
0.000295059 9.7388e-07 0
0.000269556 7.285e-07 0
0.000244719 4.68481e-07 0
0.000220611 1.93904e-07 0
0.000197294 -9.50915e-08 0
0.000174832 -3.983e-07 0
0.000153288 -7.15434e-07 0
0.000132723 -1.04611e-06 0
0.000113198 -1.38982e-06 0
9.47704e-05 -1.74595e-06 0
7.74948e-05 -2.11369e-06 0
6.14221e-05 -2.49208e-06 0
4.65982e-05 -2.87998e-06 0
3.30634e-05 -3.27605e-06 0
2.08504e-05 -3.67889e-06 0
9.98406e-06 -4.08746e-06 0
4.52498e-07 -4.50141e-06 0
-7.70818e-06 -4.89609e-06 0
-1.44894e-05 -5.29431e-06 0
-1.99536e-05 -5.68708e-06 0
-2.415e-05 -6.06715e-06 0
-2.71274e-05 -6.41713e-06 0
-2.89833e-05 -6.74536e-06 0
-2.98821e-05 -7.02522e-06 0
-3.00549e-05 -7.22012e-06 0
-2.97949e-05 -7.2332e-06 0
-2.9455e-05 -7.06443e-06 0
-2.91755e-05 -6.81836e-06 0
-2.77386e-05 -6.95792e-06 0
-2.18031e-05 -8.15441e-06 0
-7.97038e-06 -8.37352e-06 0
0.0101182 0.00039266 0
0.0104668 0.000846708 0
0.0107363 0.00102635 0
0.0108247 0.0010859 0
0.0107499 0.0010867 0
0.0105601 0.00104011 0
0.0102887 0.000957876 0
0.00996015 0.000856552 0
0.00959801 0.000749692 0
0.00922317 0.000645867 0
0.00885049 0.00055025 0
0.00848927 0.000465761 0
0.00814504 0.000393519 0
0.00782084 0.000333302 0
0.00751788 0.000284079 0
0.0072361 0.00024442 0
0.00697466 0.000212766 0
0.00673234 0.000187599 0
0.00650774 0.000167535 0
0.00629942 0.000151385 0
0.00610602 0.000138173 0
0.00592627 0.000127125 0
0.00575903 0.000117654 0
0.0056033 0.000109331 0
0.00545815 0.000101866 0
0.00532272 9.50894e-05 0
0.00519617 8.89317e-05 0
0.00507767 8.33982e-05 0
0.00496632 7.85408e-05 0
0.00486116 7.44228e-05 0
0.00476121 7.10849e-05 0
0.00466544 6.8517e-05 0
0.00457287 6.66448e-05 0
0.00448263 6.53349e-05 0
0.004394 6.44149e-05 0
0.00430647 6.37052e-05 0
0.00421982 6.30498e-05 0
0.00413401 6.23404e-05 0
0.00404923 6.15247e-05 0
0.00396576 6.06011e-05 0
0.00388391 5.96032e-05 0
0.00380389 5.85823e-05 0
0.00372582 5.75953e-05 0
0.00364961 5.66974e-05 0
0.00357505 5.59389e-05 0
0.00350178 5.53622e-05 0
0.00342939 5.49963e-05 0
0.00335746 5.48512e-05 0
0.0032856 5.49142e-05 0
0.00321352 5.51517e-05 0
0.00314099 5.55148e-05 0
0.00306787 5.59495e-05 0
0.0029941 5.64056e-05 0
0.00291964 5.6843e-05 0
0.00284453 5.72339e-05 0
0.00276878 5.75616e-05 0
0.00269246 5.78172e-05 0
0.0026156 5.79962e-05 0
0.00253826 5.80959e-05 0
0.0024605 5.81144e-05 0
0.00238237 5.80492e-05 0
0.00230394 5.78976e-05 0
0.00222529 5.76568e-05 0
0.00214648 5.73233e-05 0
0.00206759 5.68938e-05 0
0.00198871 5.63649e-05 0
0.00190993 5.57331e-05 0
0.00183133 5.49951e-05 0
0.00175303 5.41479e-05 0
0.00167512 5.31887e-05 0
0.00159771 5.21151e-05 0
0.00152091 5.09253e-05 0
0.00144483 4.9618e-05 0
0.0013696 4.81926e-05 0
0.00129533 4.66496e-05 0
0.00122214 4.49902e-05 0
0.00115015 4.32168e-05 0
0.00107948 4.1333e-05 0
0.00101024 3.93439e-05 0
0.00094254 3.72562e-05 0
0.000876482 3.5078e-05 0
0.000812161 3.28194e-05 0
0.00074966 3.04926e-05 0
0.000689052 2.81116e-05 0
0.000630391 2.56924e-05 0
0.000573712 2.32531e-05 0
0.000519043 2.08412e-05 0
0.000466385 1.84512e-05 0
0.0004157 1.61198e-05 0
0.000366925 1.38849e-05 0
0.000319968 1.18037e-05 0
0.000274694 9.92024e-06 0
0.00023091 8.33182e-06 0
0.000188382 7.16957e-06 0
0.000146759 6.5866e-06 0
0.000105689 6.40748e-06 0
6.5347e-05 5.38923e-06 0
2.80171e-05 2.08258e-07 0
6.6098e-07 -1.24433e-05 0
-5.51013e-06 -2.12652e-05 0
0.0100098 0.000122862 0
0.0101315 0.000352043 0
0.0103505 0.00053623 0
0.0105963 0.000682081 0
0.0108184 0.000793423 0
0.0109969 0.000863888 0
0.0111208 0.000893088 0
0.0111838 0.000889137 0
0.0111871 0.000862102 0
0.0111378 0.000820374 0
0.0110452 0.000770472 0
0.0109186 0.000717381 0
0.010766 0.000664622 0
0.0105947 0.000614373 0
0.0104107 0.000567771 0
0.0102188 0.000525255 0
0.0100226 0.000486818 0
0.00982503 0.000452189 0
0.00962815 0.000420962 0
0.00943358 0.000392684 0
0.00924251 0.000366917 0
0.00905581 0.00034327 0
0.0088741 0.000321421 0
0.00869781 0.000301126 0
0.00852719 0.000282224 0
0.00836235 0.000264644 0
0.00820325 0.000248397 0
0.00804976 0.000233574 0
0.00790158 0.000220318 0
0.00775835 0.000208793 0
0.00761957 0.000199136 0
0.00748465 0.000191411 0
0.00735293 0.000185565 0
0.00722368 0.0001814 0
0.00709616 0.000178578 0
0.00696967 0.000176643 0
0.00684365 0.000175081 0
0.00671774 0.0001734 0
0.00659185 0.000171217 0
0.00646625 0.00016833 0
0.00634148 0.000164755 0
0.00621832 0.000160712 0
0.0060976 0.000156555 0
0.00598002 0.00015268 0
0.00586597 0.000149428 0
0.00575546 0.000147019 0
0.00564807 0.000145531 0
0.0055431 0.000144913 0
0.00543971 0.000145029 0
0.00533706 0.000145699 0
0.00523448 0.000146741 0
0.00513148 0.000147994 0
0.00502777 0.000149332 0
0.00492318 0.000150669 0
0.00481765 0.000151948 0
0.00471117 0.000153139 0
0.00460373 0.000154226 0
0.00449534 0.000155198 0
0.00438601 0.000156049 0
0.00427575 0.000156771 0
0.00416459 0.000157358 0
0.00405255 0.000157801 0
0.00393967 0.000158091 0
0.003826 0.000158218 0
0.00371159 0.000158172 0
0.0035965 0.000157942 0
0.00348079 0.00015752 0
0.00336455 0.000156895 0
0.00324784 0.000156058 0
0.00313078 0.000155 0
0.00301344 0.000153712 0
0.00289594 0.000152189 0
0.00277839 0.000150424 0
0.0026609 0.000148413 0
0.0025436 0.000146154 0
0.00242661 0.000143647 0
0.00231006 0.000140894 0
0.00219407 0.000137901 0
0.00207878 0.000134676 0
0.00196431 0.000131229 0
0.00185078 0.000127578 0
0.00173832 0.00012374 0
0.00162704 0.00011974 0
0.00151702 0.000115606 0
0.00140836 0.000111373 0
0.00130113 0.00010708 0
0.00119537 0.000102777 0
0.00109113 9.85085e-05 0
0.000988411 9.4335e-05 0
0.000887182 9.03269e-05 0
0.000787398 8.65702e-05 0
0.000688975 8.31668e-05 0
0.000591795 8.02538e-05 0
0.000495716 7.79973e-05 0
0.000400562 7.64817e-05 0
0.000306197 7.52615e-05 0
0.000212899 7.17571e-05 0
0.000123069 5.8866e-05 0
4.6258e-05 2.71673e-05 0
8.2407e-07 -1.21486e-05 0
0.0100081 0.000107549 0
