vx vy vz
0.00954425 0.000263225 0
0.00888746 0.000552861 0
0.00812103 0.00062273 0
0.00721526 0.000578129 0
0.00633164 0.000487237 0
0.00555618 0.00038137 0
0.00488782 0.000279015 0
0.00431173 0.000191863 0
0.0038225 0.000124453 0
0.00341404 7.60854e-05 0
0.00307499 4.36028e-05 0
0.00279247 2.32066e-05 0
0.00255507 1.13724e-05 0
0.00235319 5.24801e-06 0
0.00217873 2.72339e-06 0
0.00202504 2.32306e-06 0
0.00188688 3.05656e-06 0
0.00176028 4.2856e-06 0
0.00164232 5.62015e-06 0
0.0015309 6.83819e-06 0
0.00142459 7.82847e-06 0
0.00132244 8.54936e-06 0
0.00122387 9.00159e-06 0
0.00112856 9.20845e-06 0
0.00103635 9.20408e-06 0
0.000947202 9.0248e-06 0
0.000861152 8.70563e-06 0
0.000778275 8.27716e-06 0
0.00069867 7.76579e-06 0
0.000622445 7.19287e-06 0
0.000549712 6.57626e-06 0
0.000480576 5.93007e-06 0
0.000415132 5.26642e-06 0
0.000353463 4.59519e-06 0
0.000295633 3.92542e-06 0
0.000241686 3.26491e-06 0
0.000191643 2.6212e-06 0
0.000145499 2.0009e-06 0
0.000103225 1.41011e-06 0
6.47619e-05 8.53065e-07 0
3.00266e-05 3.30385e-07 0
-1.0958e-06 -1.59828e-07 0
-2.87429e-05 -6.13199e-07 0
-5.30702e-05 -1.0188e-06 0
-7.42527e-05 -1.36904e-06 0
-9.2478e-05 -1.6615e-06 0
-0.000107945 -1.89716e-06 0
-0.000120868 -2.07459e-06 0
-0.00013145 -2.19408e-06 0
-0.00013989 -2.2599e-06 0
-0.000146402 -2.2852e-06 0
-0.0001512 -2.28149e-06 0
-0.000154483 -2.25541e-06 0
-0.000156433 -2.21297e-06 0
-0.000157218 -2.15705e-06 0
-0.000157 -2.09018e-06 0
-0.000155929 -2.01634e-06 0
-0.000154136 -1.93875e-06 0
-0.00015174 -1.85874e-06 0
-0.000148851 -1.77672e-06 0
-0.00014557 -1.69447e-06 0
-0.000141978 -1.614e-06 0
-0.000138144 -1.53823e-06 0
-0.000134112 -1.47065e-06 0
-0.000129906 -1.41475e-06 0
-0.000125531 -1.37246e-06 0
