vx vy vz
10.085 0.154337 0
10.1354 0.14221 0
10.0445 0.0865347 0
9.98021 0.0364371 0
9.96326 0.00309323 0
9.96632 -0.000811236 0
9.97081 0.011388 0
9.97238 0.018008 0
9.96834 0.0129891 0
9.95422 0.00338154 0
9.92705 -0.00285498 0
9.89061 -0.00237104 0
9.85564 0.00316935 0
9.83155 0.0101256 0
9.81809 0.0164365 0
9.80464 0.0217501 0
9.77862 0.024924 0
9.73667 0.0235123 0
9.6876 0.0163979 0
9.64309 0.00656981 0
9.60663 0.000332054 0
9.57226 0.001402 0
9.53275 0.00681512 0
9.48766 0.0104733 0
9.44284 0.0104788 0
9.40274 0.0121283 0
9.36499 0.0219322 0
9.32275 0.0388775 0
9.27194 0.0533724 0
9.21548 0.0557543 0
9.15977 0.0461743 0
9.1074 0.0356446 0
9.05403 0.0364113 0
8.99229 0.0507488 0
8.91905 0.0688267 0
8.83893 0.0773015 0
8.76057 0.0706451 0
8.68936 0.0555453 0
8.62277 0.0450846 0
8.55134 0.0486517 0
8.4642 0.0658067 0
8.35535 0.0876961 0
8.22682 0.103772 0
8.08685 0.108238 0
7.94519 0.101968 0
7.80882 0.0899927 0
7.68041 0.07767 0
7.55913 0.0682724 0
7.44241 0.0626686 0
7.32755 0.0602078 0
7.21254 0.0597573 0
7.09617 0.0603495 0
6.9779 0.0613833 0
6.8575 0.0625674 0
6.73491 0.0637922 0
6.61011 0.0650277 0
6.4831 0.0662687 0
6.35385 0.0675143 0
6.22234 0.0687623 0
6.08856 0.0700095 0
5.95248 0.0712523 0
5.8141 0.0724868 0
5.67341 0.0737078 0
5.53041 0.074905 0
5.38511 0.0760664 0
5.23751 0.0771799 0
5.08766 0.0782343 0
4.93557 0.0792181 0
4.78131 0.0801191 0
4.62495 0.0809243 0
4.46656 0.0816195 0
4.30625 0.082189 0
4.14414 0.082616 0
3.9804 0.0828822 0
3.81518 0.0829684 0
3.64869 0.0828548 0
3.48115 0.082521 0
3.31284 0.0819463 0
3.14404 0.0811113 0
2.97506 0.0799985 0
2.80626 0.0785931 0
2.638 0.076884 0
2.47068 0.0748645 0
2.30472 0.0725342 0
2.14052 0.0699009 0
1.97851 0.0669818 0
1.8191 0.0638043 0
1.66265 0.0604068 0
1.50951 0.0568386 0
1.35996 0.05316 0
1.2142 0.0494408 0
1.07237 0.0457594 0
0.934495 0.0422 0
0.800485 0.0388492 0
0.670149 0.0357942 0
0.543171 0.0331133 0
0.419137 0.0308811 0
0.297494 0.0291331 0
0.177737 0.0278431 0
0.0590035 0.0273539 0
10.0064 -0.0106953 0
10.0273 0.0429592 0
10.0579 0.0460503 0
10.0833 0.0295809 0
10.0721 0.00987876 0
10.0401 -0.00934004 0
10.0175 -0.020188 0
10.0136 -0.0162517 0
10.0149 0.00449806 0
10.0065 0.0367159 0
9.9858 0.0654663 0
9.95845 0.0738363 0
9.92964 0.0566881 0
9.90341 0.0276844 0
9.88591 0.00976771 0
9.88353 0.0166053 0
9.89533 0.0420775 0
9.90833 0.0672027 0
9.90381 0.0776544 0
9.87249 0.0747427 0
9.82295 0.0700781 0
9.77299 0.0717691 0
9.7334 0.0775446 0
9.70043 0.0798875 0
9.6636 0.0748787 0
9.6191 0.0654148 0
9.57424 0.057194 0
9.5392 0.0533518 0
9.51542 0.0534583 0
9.49282 0.0562368 0
9.45892 0.061523 0
9.41073 0.0692173 0
9.35755 0.0774929 0
9.31223 0.0831522 0
9.27928 0.0840427 0
9.25044 0.0812528 0
9.21146 0.0789189 0
9.15384 0.0816075 0
9.08172 0.0915889 0
9.00884 0.108061 0
8.94886 0.128044 0
8.90693 0.147593 0
8.87797 0.163015 0
8.85086 0.172173 0
8.81446 0.17521 0
8.76185 0.1741 0
8.69147 0.171415 0
8.6057 0.1692 0
8.50863 0.168463 0
8.40417 0.169298 0
8.29515 0.171312 0
8.18322 0.174019 0
8.06917 0.177051 0
7.95333 0.180203 0
7.83574 0.18339 0
7.71639 0.186596 0
7.59523 0.189828 0
7.47223 0.193096 0
7.34731 0.196408 0
7.22043 0.199767 0
7.09153 0.203172 0
6.96055 0.206619 0
6.82742 0.210104 0
6.69209 0.213615 0
6.55449 0.217143 0
6.41455 0.220674 0
6.27222 0.224196 0
6.12742 0.227695 0
5.9801 0.231155 0
5.83019 0.234557 0
5.67764 0.237879 0
5.52238 0.241097 0
5.36436 0.244185 0
5.20354 0.24711 0
