vx vy vz
9.98947 0.0210082 0
9.96722 0.0352386 0
9.9379 0.0415589 0
9.90067 0.0459002 0
9.85786 0.0498324 0
9.81108 0.0535363 0
9.7606 0.0569817 0
9.70631 0.0602039 0
9.64823 0.06326 0
9.58651 0.066185 0
9.52123 0.0689965 0
9.45244 0.0717092 0
9.3801 0.0743388 0
9.30422 0.0769008 0
9.22475 0.0794089 0
9.14165 0.0818759 0
9.05487 0.0843137 0
8.96431 0.0867336 0
8.86989 0.0891463 0
8.77151 0.0915621 0
8.66905 0.0939904 0
8.56237 0.0964398 0
8.45133 0.0989182 0
8.33577 0.101433 0
8.21551 0.103989 0
8.09038 0.106593 0
7.96016 0.109249 0
7.82465 0.111959 0
7.68363 0.114727 0
7.53685 0.117551 0
7.38406 0.12043 0
7.22502 0.123362 0
7.05944 0.126339 0
6.88707 0.129355 0
6.70762 0.132394 0
6.52083 0.135441 0
6.32645 0.138469 0
6.12424 0.141444 0
5.914 0.144322 0
5.69557 0.147043 0
5.46888 0.14953 0
5.23394 0.151692 0
4.99088 0.153415 0
4.73997 0.154572 0
4.48165 0.15502 0
4.21659 0.154607 0
3.94565 0.153185 0
3.66992 0.150619 0
3.39077 0.146804 0
3.10978 0.14168 0
2.82872 0.135252 0
2.54954 0.127607 0
2.2743 0.118919 0
2.00505 0.109458 0
1.74377 0.0995822 0
1.49227 0.0897168 0
1.25201 0.0803297 0
1.02409 0.0718908 0
0.809088 0.0648244 0
0.607087 0.0594546 0
0.417651 0.0559459 0
0.23995 0.0542436 0
0.0728532 0.0540471 0
-0.0848732 0.0548385 0
-0.23452 0.0559777 0
-0.37693 0.0570018 0
-0.512897 0.0573325 0
-0.643157 0.0567589 0
-0.76787 0.0552971 0
-0.887243 0.0532346 0
-1.00148 0.0509662 0
-1.11082 0.0488404 0
-1.21558 0.0470282 0
-1.31637 0.0456878 0
-1.41426 0.0452321 0
-1.511 0.0462867 0
-1.60923 0.049654 0
-1.71255 0.0564071 0
-1.82566 0.0677293 0
-1.95438 0.08395 0
-2.10428 0.102723 0
-2.27705 0.117894 0
-2.46608 0.121642 0
-2.65478 0.109541 0
-2.82114 0.0835979 0
-2.94647 0.0500423 0
-3.02225 0.0163699 0
-3.0476 -0.0126311 0
-3.02586 -0.0362333 0
-2.97423 -0.0560357 0
-2.88502 -0.0765459 0
-2.75752 -0.0984384 0
-2.58889 -0.122408 0
-2.37773 -0.148886 0
-2.12276 -0.178367 0
-1.81894 -0.211364 0
-1.45392 -0.247991 0
-1.02056 -0.281851 0
-0.554265 -0.278485 0
-0.15582 -0.150339 0
10.0046 0.00690761 0
10.0194 0.0168463 0
10.0354 0.0234001 0
10.0502 0.0287707 0
10.0638 0.0339499 0
10.0768 0.0389396 0
10.0891 0.0436536 0
10.1002 0.0481736 0
10.1101 0.0526207 0
10.1186 0.0570652 0
10.1257 0.0615387 0
10.1313 0.0660648 0
10.1352 0.0706685 0
10.1373 0.0753736 0
10.1376 0.0802009 0
10.1359 0.0851689 0
10.1322 0.0902959 0
10.1263 0.0956003 0
10.1182 0.101101 0
10.1077 0.106816 0
10.0946 0.112767 0
10.0789 0.118974 0
10.0603 0.125458 0
10.0388 0.132242 0
10.0141 0.13935 0
9.98611 0.146808 0
9.95448 0.154639 0
9.91901 0.162872 0
9.87943 0.171534 0
9.83542 0.180653 0
9.78665 0.190256 0
9.73273 0.200373 0
9.67324 0.21103 0
9.60773 0.222252 0
9.53567 0.23406 0
9.4565 0.246469 0
9.3696 0.259488 0
9.2743 0.273112 0
9.16985 0.28732 0
9.05547 0.30207 0
8.93031 0.317296 0
8.79347 0.332896 0
8.64402 0.348732 0
8.481 0.364621 0
8.30348 0.380333 0
8.11055 0.395586 0
7.90138 0.410053 0
7.67528 0.42336 0
7.4317 0.435101 0
7.17037 0.444851 0
6.89127 0.452186 0
6.59473 0.456713 0
6.28147 0.458092 0
5.95263 0.456073 0
5.60977 0.45052 0
5.2549 0.441443 0
4.89049 0.42901 0
4.51936 0.413564 0
4.14469 0.395612 0
3.76989 0.375803 0
3.39843 0.354886 0
3.0337 0.333649 0
2.67869 0.312843 0
2.33588 0.293135 0
2.00705 0.275014 0
1.69327 0.258883 0
1.39491 0.244889 0
1.1116 0.232882 0
0.842532 0.222492 0
0.586662 0.213279 0
0.342894 0.204843 0
0.110111 0.196946 0
-0.112768 0.189619 0
-0.326964 0.183339 0
-0.5341 0.179172 0
-0.736284 0.178473 0
-0.935975 0.18242 0
-1.13544 0.191851 0
-1.33611 0.207355 0
-1.53771 0.228543 0
-1.73721 0.251607 0
-1.92742 0.267322 0
-2.09635 0.263947 0
-2.23066 0.235133 0
-2.32393 0.184993 0
-2.38351 0.124501 0
-2.42409 0.0642217 0
-2.45668 0.00827699 0
-2.48123 -0.0448405 0
-2.47072 -0.0977412 0
-2.42629 -0.154143 0
-2.3422 -0.214064 0
-2.21594 -0.277041 0
-2.04685 -0.342505 0
-1.83667 -0.410641 0
-1.58787 -0.483994 0
-1.29965 -0.570001 0
-0.967498 -0.672926 0
-0.5959 -0.739079 0
