"nut","k","p","s","U:0","U:1","U:2","vtkOriginalCellIds","Cell Type"
0,2.2419e-05,1008.7,5.3324e-21,-0.061344,-0.11738,0,99,12
0,0.00010909,1008.5,1.0203e-18,0.041523,-0.12844,0,199,12
0,0.00015687,1008.4,4.9313e-16,0.11831,0.056178,0,299,12
0,0.0001602,1008,3.1545e-15,0.15698,0.34868,0,399,12
0,0.00013927,1007.3,3.6048e-15,0.17012,0.68479,0,499,12
0,0.00010095,1006.4,2.2663e-15,0.16709,1.0246,0,599,12
0,7.2154e-05,1005.1,7.7822e-16,0.15629,1.3489,0,699,12
0,5.104e-05,1003.6,2.5206e-16,0.14303,1.6471,0,799,12
0,3.5888e-05,1001.9,8.5414e-17,0.13041,1.9191,0,899,12
0,2.5191e-05,999.91,3.3151e-17,0.11994,2.1682,0,999,12
0,1.7707e-05,997.75,1.5902e-17,0.11212,2.3997,0,1099,12
0,1.2496e-05,995.39,9.7533e-18,0.10694,2.6187,0,1199,12
0,8.8737e-06,992.83,7.5361e-18,0.10405,2.8298,0,1299,12
0,6.3531e-06,990.08,6.9903e-18,0.10301,3.0374,0,1399,12
0,4.5834e-06,987.14,7.1031e-18,0.10339,3.2447,0,1499,12
0,3.3448e-06,983.98,7.6802e-18,0.10479,3.4539,0,1599,12
0,2.4529e-06,980.62,9.5411e-18,0.1069,3.6668,0,1699,12
0,1.8316e-06,977.04,1.1701e-17,0.10947,3.8844,0,1799,12
0,1.3876e-06,973.24,1.4743e-17,0.11235,4.1075,0,1899,12
0,1.0636e-06,969.22,2.1503e-17,0.11542,4.3364,0,1999,12
0,8.2158e-07,964.96,2.6364e-17,0.11862,4.5716,0,2099,12
0,6.377e-07,960.46,3.7158e-17,0.12192,4.8133,0,2199,12
0,4.9642e-07,955.72,4.713e-17,0.12534,5.0615,0,2299,12
0,3.8717e-07,950.72,7.0503e-17,0.12886,5.3166,0,2399,12
0,3.0242e-07,945.46,9.0332e-17,0.13256,5.5789,0,2499,12
0,2.3657e-07,939.92,1.3444e-16,0.13642,5.8487,0,2599,12
0,1.8538e-07,934.11,1.7438e-16,0.14058,6.1265,0,2699,12
0,1.4557e-07,928,2.6719e-16,0.14494,6.4125,0,2799,12
0,1.1458e-07,921.58,3.5689e-16,0.14983,6.7081,0,2899,12
0,9.0451e-08,914.84,5.6377e-16,0.15485,7.013,0,2999,12
0,7.1528e-08,907.76,7.6872e-16,0.1609,7.3296,0,3099,12
0,5.6708e-08,900.3,1.2179e-15,0.16662,7.6568,0,3199,12
0,4.5093e-08,892.46,1.8145e-15,0.17458,7.9992,0,3299,12
0,3.5981e-08,884.19,2.6228e-15,0.18092,8.3535,0,3399,12
0,2.8825e-08,875.46,4.5956e-15,0.19209,8.7287,0,3499,12
0,2.3185e-08,866.22,6.9113e-15,0.19841,9.1159,0,3599,12
0,1.8727e-08,856.43,1.1952e-14,0.21566,9.5343,0,3699,12
0,1.5226e-08,846,1.9226e-14,0.21979,9.9622,0,3799,12
0,1.2381e-08,834.88,3.5224e-14,0.24942,10.44,0,3899,12
0,1.0215e-08,822.9,6.1668e-14,0.24524,10.919,0,3999,12
0,8.3623e-09,810.01,1.1673e-13,0.30192,11.484,0,4099,12
0,7.0003e-09,795.91,2.2666e-13,0.27414,12.028,0,4199,12
0,5.7693e-09,780.53,4.6951e-13,0.3914,12.726,0,4299,12
0,4.94e-09,763.22,9.9372e-13,0.30315,13.358,0,4399,12
0,4.0755e-09,743.95,2.3333e-12,0.5618,14.279,0,4499,12
0,3.5424e-09,720.99,5.4661e-12,0.3313,15.059,0,4599,12
0,2.9858e-09,694.64,1.5667e-11,0.9399,16.382,0,4699,12
0,2.5565e-09,658.91,4.2618e-11,0.40527,17.524,0,4799,12
0,3.0408e-09,615.68,1.6637e-10,1.9936,19.666,0,4899,12
0,9.2005e-09,541.61,5.6337e-10,0.93064,21.895,0,4999,12
