v ccx ccy ccz
v 0.01 0.01 0.05
v 0.03 0.01 0.05
v 0.05 0.01 0.05
v 0.07 0.01 0.05
v 0.09 0.01 0.05
v 0.11 0.01 0.05
v 0.13 0.01 0.05
v 0.15 0.01 0.05
v 0.17 0.01 0.05
v 0.19 0.01 0.05
v 0.21 0.01 0.05
v 0.23 0.01 0.05
v 0.25 0.01 0.05
v 0.27 0.01 0.05
v 0.29 0.01 0.05
v 0.31 0.01 0.05
v 0.33 0.01 0.05
v 0.35 0.01 0.05
v 0.37 0.01 0.05
v 0.39 0.01 0.05
v 0.41 0.01 0.05
v 0.43 0.01 0.05
v 0.45 0.01 0.05
v 0.47 0.01 0.05
v 0.49 0.01 0.05
v 0.51 0.01 0.05
v 0.53 0.01 0.05
v 0.55 0.01 0.05
v 0.57 0.01 0.05
v 0.59 0.01 0.05
v 0.61 0.01 0.05
v 0.63 0.01 0.05
v 0.65 0.01 0.05
v 0.67 0.01 0.05
v 0.69 0.01 0.05
v 0.71 0.01 0.05
v 0.73 0.01 0.05
v 0.75 0.01 0.05
v 0.77 0.01 0.05
v 0.79 0.01 0.05
v 0.81 0.01 0.05
v 0.83 0.01 0.05
v 0.85 0.01 0.05
v 0.87 0.01 0.05
v 0.89 0.01 0.05
v 0.91 0.01 0.05
v 0.93 0.01 0.05
v 0.95 0.01 0.05
v 0.97 0.01 0.05
v 0.99 0.01 0.05
v 1.01 0.01 0.05
v 1.03 0.01 0.05
v 1.05 0.01 0.05
v 1.07 0.01 0.05
v 1.09 0.01 0.05
v 1.11 0.01 0.05
v 1.13 0.01 0.05
v 1.15 0.01 0.05
v 1.17 0.01 0.05
v 1.19 0.01 0.05
v 1.21 0.01 0.05
v 1.23 0.01 0.05
v 1.25 0.01 0.05
v 1.27 0.01 0.05
v 1.29 0.01 0.05
v 1.31 0.01 0.05
v 1.33 0.01 0.05
v 1.35 0.01 0.05
v 1.37 0.01 0.05
v 1.39 0.01 0.05
v 1.41 0.01 0.05
v 1.43 0.01 0.05
v 1.45 0.01 0.05
v 1.47 0.01 0.05
v 1.49 0.01 0.05
v 1.51 0.01 0.05
v 1.53 0.01 0.05
v 1.55 0.01 0.05
v 1.57 0.01 0.05
v 1.59 0.01 0.05
v 1.61 0.01 0.05
v 1.63 0.01 0.05
v 1.65 0.01 0.05
v 1.67 0.01 0.05
v 1.69 0.01 0.05
v 1.71 0.01 0.05
v 1.73 0.01 0.05
v 1.75 0.01 0.05
v 1.77 0.01 0.05
v 1.79 0.01 0.05
v 1.81 0.01 0.05
v 1.83 0.01 0.05
v 1.85 0.01 0.05
v 1.87 0.01 0.05
v 1.89 0.01 0.05
v 1.91 0.01 0.05
v 1.93 0.01 0.05
v 1.95 0.01 0.05
v 1.97 0.01 0.05
v 1.99 0.01 0.05
v 0.01 0.03 0.05
v 0.03 0.03 0.05
v 0.05 0.03 0.05
v 0.07 0.03 0.05
v 0.09 0.03 0.05
v 0.11 0.03 0.05
v 0.13 0.03 0.05
v 0.15 0.03 0.05
v 0.17 0.03 0.05
v 0.19 0.03 0.05
v 0.21 0.03 0.05
v 0.23 0.03 0.05
v 0.25 0.03 0.05
v 0.27 0.03 0.05
v 0.29 0.03 0.05
v 0.31 0.03 0.05
v 0.33 0.03 0.05
v 0.35 0.03 0.05
v 0.37 0.03 0.05
v 0.39 0.03 0.05
v 0.41 0.03 0.05
v 0.43 0.03 0.05
v 0.45 0.03 0.05
v 0.47 0.03 0.05
v 0.49 0.03 0.05
v 0.51 0.03 0.05
v 0.53 0.03 0.05
v 0.55 0.03 0.05
v 0.57 0.03 0.05
v 0.59 0.03 0.05
v 0.61 0.03 0.05
v 0.63 0.03 0.05
v 0.65 0.03 0.05
v 0.67 0.03 0.05
v 0.69 0.03 0.05
v 0.71 0.03 0.05
v 0.73 0.03 0.05
v 0.75 0.03 0.05
v 0.77 0.03 0.05
v 0.79 0.03 0.05
v 0.81 0.03 0.05
v 0.83 0.03 0.05
v 0.85 0.03 0.05
v 0.87 0.03 0.05
v 0.89 0.03 0.05
v 0.91 0.03 0.05
v 0.93 0.03 0.05
v 0.95 0.03 0.05
v 0.97 0.03 0.05
v 0.99 0.03 0.05
v 1.01 0.03 0.05
v 1.03 0.03 0.05
v 1.05 0.03 0.05
v 1.07 0.03 0.05
v 1.09 0.03 0.05
v 1.11 0.03 0.05
v 1.13 0.03 0.05
v 1.15 0.03 0.05
v 1.17 0.03 0.05
v 1.19 0.03 0.05
v 1.21 0.03 0.05
v 1.23 0.03 0.05
v 1.25 0.03 0.05
v 1.27 0.03 0.05
v 1.29 0.03 0.05
v 1.31 0.03 0.05
v 1.33 0.03 0.05
v 1.35 0.03 0.05
v 1.37 0.03 0.05
v 1.39 0.03 0.05
v 1.41 0.03 0.05
v 1.43 0.03 0.05
v 1.45 0.03 0.05
v 1.47 0.03 0.05
v 1.49 0.03 0.05
v 1.51 0.03 0.05
v 1.53 0.03 0.05
v 1.55 0.03 0.05
v 1.57 0.03 0.05
v 1.59 0.03 0.05
v 1.61 0.03 0.05
v 1.63 0.03 0.05
v 1.65 0.03 0.05
v 1.67 0.03 0.05
v 1.69 0.03 0.05
v 1.71 0.03 0.05
v 1.73 0.03 0.05
v 1.75 0.03 0.05
v 1.77 0.03 0.05
v 1.79 0.03 0.05
v 1.81 0.03 0.05
v 1.83 0.03 0.05
v 1.85 0.03 0.05
v 1.87 0.03 0.05
v 1.89 0.03 0.05
v 1.91 0.03 0.05
v 1.93 0.03 0.05
v 1.95 0.03 0.05
v 1.97 0.03 0.05
v 1.99 0.03 0.05
v 0.01 0.05 0.05
v 0.03 0.05 0.05
v 0.05 0.05 0.05
v 0.07 0.05 0.05
v 0.09 0.05 0.05
v 0.11 0.05 0.05
v 0.13 0.05 0.05
v 0.15 0.05 0.05
v 0.17 0.05 0.05
v 0.19 0.05 0.05
v 0.21 0.05 0.05
v 0.23 0.05 0.05
v 0.25 0.05 0.05
v 0.27 0.05 0.05
v 0.29 0.05 0.05
v 0.31 0.05 0.05
v 0.33 0.05 0.05
v 0.35 0.05 0.05
v 0.37 0.05 0.05
v 0.39 0.05 0.05
v 0.41 0.05 0.05
v 0.43 0.05 0.05
v 0.45 0.05 0.05
v 0.47 0.05 0.05
v 0.49 0.05 0.05
v 0.51 0.05 0.05
v 0.53 0.05 0.05
v 0.55 0.05 0.05
v 0.57 0.05 0.05
v 0.59 0.05 0.05
v 0.61 0.05 0.05
v 0.63 0.05 0.05
v 0.65 0.05 0.05
v 0.67 0.05 0.05
v 0.69 0.05 0.05
v 0.71 0.05 0.05
v 0.73 0.05 0.05
v 0.75 0.05 0.05
v 0.77 0.05 0.05
v 0.79 0.05 0.05
v 0.81 0.05 0.05
v 0.83 0.05 0.05
v 0.85 0.05 0.05
v 0.87 0.05 0.05
v 0.89 0.05 0.05
v 0.91 0.05 0.05
v 0.93 0.05 0.05
v 0.95 0.05 0.05
v 0.97 0.05 0.05
v 0.99 0.05 0.05
v 1.01 0.05 0.05
v 1.03 0.05 0.05
v 1.05 0.05 0.05
v 1.07 0.05 0.05
v 1.09 0.05 0.05
v 1.11 0.05 0.05
v 1.13 0.05 0.05
v 1.15 0.05 0.05
v 1.17 0.05 0.05
v 1.19 0.05 0.05
v 1.21 0.05 0.05
v 1.23 0.05 0.05
v 1.25 0.05 0.05
v 1.27 0.05 0.05
v 1.29 0.05 0.05
v 1.31 0.05 0.05
v 1.33 0.05 0.05
v 1.35 0.05 0.05
v 1.37 0.05 0.05
v 1.39 0.05 0.05
v 1.41 0.05 0.05
v 1.43 0.05 0.05
v 1.45 0.05 0.05
v 1.47 0.05 0.05
v 1.49 0.05 0.05
v 1.51 0.05 0.05
v 1.53 0.05 0.05
v 1.55 0.05 0.05
v 1.57 0.05 0.05
v 1.59 0.05 0.05
v 1.61 0.05 0.05
v 1.63 0.05 0.05
v 1.65 0.05 0.05
v 1.67 0.05 0.05
v 1.69 0.05 0.05
v 1.71 0.05 0.05
v 1.73 0.05 0.05
v 1.75 0.05 0.05
v 1.77 0.05 0.05
v 1.79 0.05 0.05
v 1.81 0.05 0.05
v 1.83 0.05 0.05
v 1.85 0.05 0.05
v 1.87 0.05 0.05
v 1.89 0.05 0.05
v 1.91 0.05 0.05
v 1.93 0.05 0.05
v 1.95 0.05 0.05
v 1.97 0.05 0.05
v 1.99 0.05 0.05
v 0.01 0.07 0.05
v 0.03 0.07 0.05
v 0.05 0.07 0.05
v 0.07 0.07 0.05
v 0.09 0.07 0.05
v 0.11 0.07 0.05
v 0.13 0.07 0.05
v 0.15 0.07 0.05
v 0.17 0.07 0.05
